label,billing_zip,billing_city,relationship,amount_2013,amount_lifetime,n_donations_life,ID,first_donation_year
0.0,,,,0.0,0.0,0,001i000000NuRo3,999
0.0,,,,0.0,0.0,0,001i000000NuRxd,999
0.0,94597,Walnut Creek,,0.0,0.0,0,001i000000NuQGN,999
0.0,94005,Brisbane,,0.0,0.0,0,001i000000NuPfL,999
0.0,94610,Oakland,,0.0,0.0,0,001i000000NuQkP,999
0.0,8543,Princeton,,0.0,2830.0,7,001i000000NuSpQ,1997.0
0.0,94117,San Francisco,,0.0,0.0,0,001i000000NuOwD,999
0.0,94132,San Francisco,,0.0,0.0,0,001i000000NuQ2O,999
1.0,94618,Oakland,,100.0,352.0,5,001i000000Lhycc,2009.0
0.0,94903,San Rafael,,0.0,25.0,1,001i000000NuO9k,1985.0
0.0,94568,Dublin,,0.0,0.0,0,001i000000NuNjW,999
0.0,94109,San Francisco,,0.0,0.0,0,001i000000NuQIh,999
0.0,94608,Emeryville,,0.0,0.0,0,001i000000NuQsp,999
0.0,94116,San Francisco,,0.0,50.0,2,001i000000NuQ0P,2007.0
0.0,94301,Palo Alto,,0.0,0.0,0,001i000000NuP9h,999
0.0,94114,San Francisco,,0.0,10425.0,13,001i000000NuO0y,1986.0
0.0,94025,Menlo Park,,0.0,0.0,0,001i000000NuQa2,999
1.0,94803,El Sobrante,,0.0,1800.0,3,001i000000NuQYW,2008.0
0.0,94109,San Francisco,,0.0,0.0,0,001i000000NuQKp,999
0.0,94107,San Francisco,,0.0,0.0,0,001i000000NuPvE,999
0.0,94611,Piedmont,,0.0,0.0,0,001i000000NuQ11,999
0.0,94114,San Francisco,,0.0,450.0,3,001i000000NuQ05,2004.0
0.0,95616,Davis,,0.0,0.0,0,001i000000NuPmu,999
1.0,95472,Sebastopol,,0.0,0.0,0,001i000000P5kdM,999
0.0,94604-2050,Oakland,,0.0,0.0,0,001i000000NuNYK,999
0.0,92649,Huntington Beach,,0.0,0.0,0,001i000000NuNeM,999
0.0,94115,San Francisco,,0.0,0.0,0,001i000000NuNvl,999
0.0,94574,Saint Helena,,0.0,81.0,1,001i000000NuOKc,1995.0
