label,billing_city,relationship,amount_2013,amount_lifetime,n_donations_life,first_donated,season,package,n_seats,location,section,price_level,subscription_tier,multiple_subs,ID
0.0,unknown,,0.0,0.0,0,,999,,,,,,,0,001i000000NuRo3
0.0,unknown,,0.0,0.0,0,,999,,,,,,,0,001i000000NuRxd
0.0,walnut creek,,0.0,0.0,0,,999,,,,,,,0,001i000000NuQGN
0.0,brisbane,,0.0,0.0,0,,2002,Full,1.0,san francisco,,,1.0,0,001i000000NuPfL
0.0,oakland,,0.0,0.0,0,,999,,,,,,,0,001i000000NuQkP
0.0,princeton,,0.0,2830.0,7,1997-02-21 00:00:00,999,,,,,,,0,001i000000NuSpQ
0.0,san francisco,,0.0,0.0,0,,1997,Quartet,2.0,san francisco,Dress Circle,3.0,1.0,0,001i000000NuOwD
0.0,san francisco,,0.0,0.0,0,,2010,Quartet A,1.0,berkeley saturday,Orchestra,1.0,0.5,0,001i000000NuQ2O
0.0,san francisco,,0.0,0.0,0,,2011,Trio,2.0,berkeley saturday,Orchestra,1.0,1.0,0,001i000000NuQ2O
1.0,oakland,,100.0,352.0,5,2009-04-10 00:00:00,2011,Full,2.0,berkeley saturday,Orchestra,0.0,2.0,0,001i000000Lhycc
1.0,oakland,,100.0,352.0,5,2009-04-10 00:00:00,2009,Full,2.0,berkeley saturday,Premium Orchestra,1.0,2.0,0,001i000000Lhycc
1.0,oakland,,100.0,352.0,5,2009-04-10 00:00:00,2005,Full,2.0,berkeley saturday,Orchestra Front,1.0,2.0,0,001i000000Lhycc
1.0,oakland,,100.0,352.0,5,2009-04-10 00:00:00,2003,Full,1.0,berkeley saturday,,,1.0,0,001i000000Lhycc
1.0,oakland,,100.0,352.0,5,2009-04-10 00:00:00,2013,Full,2.0,berkeley saturday,,0.0,2.0,0,001i000000Lhycc
1.0,oakland,,100.0,352.0,5,2009-04-10 00:00:00,2002,Quartet CC,1.0,contra costa,,,0.5,0,001i000000Lhycc
1.0,oakland,,100.0,352.0,5,2009-04-10 00:00:00,2008,Full,2.0,berkeley saturday,Premium Orchestra,1.0,2.0,0,001i000000Lhycc
1.0,oakland,,100.0,352.0,5,2009-04-10 00:00:00,2010,Full,2.0,berkeley saturday,Orchestra,0.0,2.0,0,001i000000Lhycc
1.0,oakland,,100.0,352.0,5,2009-04-10 00:00:00,2006,Full,2.0,berkeley saturday,Premium Orchestra,1.0,2.0,0,001i000000Lhycc
1.0,oakland,,100.0,352.0,5,2009-04-10 00:00:00,2004,Full,1.0,berkeley saturday,,,1.0,0,001i000000Lhycc
1.0,oakland,,100.0,352.0,5,2009-04-10 00:00:00,2007,Full,2.0,berkeley saturday,Premium Orchestra,1.0,2.0,0,001i000000Lhycc
1.0,oakland,,100.0,352.0,5,2009-04-10 00:00:00,2012,Full,2.0,berkeley saturday,Orchestra,0.0,2.0,0,001i000000Lhycc
0.0,san rafael,,0.0,25.0,1,1985-07-04 00:00:00,999,,,,,,,0,001i000000NuO9k
0.0,dublin,,0.0,0.0,0,,1994,Full,2.0,berkeley saturday,Balcony Front,3.0,2.0,0,001i000000NuNjW
0.0,dublin,,0.0,0.0,0,,1993,Full,2.0,berkeley saturday,Balcony Front,3.0,2.0,0,001i000000NuNjW
0.0,san francisco,,0.0,0.0,0,,2006,Quartet,1.0,san francisco,Orchestra,2.0,0.5,0,001i000000NuQIh
0.0,emeryville,,0.0,0.0,0,,999,,,,,,,0,001i000000NuQsp
0.0,san francisco,,0.0,50.0,2,2007-04-30 00:00:00,2007,Quartet,2.0,san francisco,Premium Orchestra,1.0,1.0,0,001i000000NuQ0P
0.0,palo alto,,0.0,0.0,0,,2001,Quartet,2.0,peninsula,Orchestra,2.0,1.0,0,001i000000NuP9h
0.0,palo alto,,0.0,0.0,0,,2004,Full,1.0,san francisco,,,1.0,0,001i000000NuP9h
0.0,san francisco,,0.0,10425.0,13,1986-07-04 00:00:00,1995,Full,2.0,san francisco,Orchestra,2.0,2.0,0,001i000000NuO0y
