price_level,n_seats,mkting_source,season,location,setconcerts,multi_tickets,concert_name,settickets,who,what,ID
4.0,2,unknown,2012,san francisco,4.0,0,999,999.0,unknown,999,001i000000NuOP0
1.0,1,other,2013,berkeley sunday,6.0,0,999,999.0,unknown,999,001i000000NuOYU
4.0,2,unknown,2011,family concert,3.0,0,999,999.0,unknown,999,001i000000NuRS9
3.0,1,postcard or brochure,2013,berkeley saturday,2.0,0,999,999.0,unknown,999,001i000000NuRPj
2.0,2,unknown,2013,berkeley saturday,1.0,0,999,999.0,unknown,999,001i000000NuRQ1
4.0,12,unknown,2011,peninsula,2.0,1,999,999.0,unknown,999,001i000000NuRVR
2.0,2,unknown,2011,san francisco,2.0,0,999,999.0,unknown,999,001i000000NuRSm
1.0,2,kdfc radio,2013,berkeley saturday,3.0,0,999,999.0,unknown,999,001i000000oks4h
4.0,1,unknown,2012,san francisco,2.0,0,999,999.0,unknown,999,001i000000NuRRk
4.0,2,philharmonia website,2013,san francisco,6.0,0,999,999.0,unknown,999,001i000000NuPJN
4.0,1,unknown,2011,san francisco,2.0,0,999,999.0,unknown,999,001i000000NuRLz
3.0,1,philharmonia website,2013,san francisco,4.0,0,999,999.0,unknown,999,001i000000NuQSw
3.0,2,word of mouth,2013,san francisco,2.0,0,999,999.0,unknown,999,001i000000oks24
4.0,1,unknown,2010,san francisco,7.0,0,999,999.0,unknown,999,001i000000NuR2K
4.0,1,unknown,2013,berkeley sunday,1.0,0,999,999.0,unknown,999,001i000000V24lZ
4.0,2,unknown,2011,peninsula,6.0,0,999,999.0,unknown,999,001i000000NuRIN
4.0,2,unknown,2011,san francisco,7.0,0,999,999.0,unknown,999,001i000000NuQTw
2.0,1,unknown,2010,san francisco,4.0,0,999,999.0,unknown,999,001i000000NuNvT
4.0,2,unknown,2011,berkeley saturday,5.0,0,999,999.0,unknown,999,001i000000NuRW9
4.0,2,unknown,2010,peninsula,1.0,0,999,999.0,unknown,999,001i000000NuQwN
4.0,2,other print,2013,berkeley saturday,1.0,0,999,999.0,unknown,999,001i000000oks3c
3.0,4,unknown,2013,san francisco,1.0,0,999,999.0,unknown,999,001i000000NuOPj
2.0,2,unknown,2010,berkeley sunday,1.0,0,999,999.0,unknown,999,001i000000NuPUl
4.0,1,unknown,2010,san francisco,6.0,0,999,999.0,unknown,999,001i000000NuNk5
1.0,2,unknown,2011,berkeley saturday,7.0,0,999,999.0,unknown,999,001i000000NuNce
2.0,2,unknown,2012,san francisco,1.0,0,999,999.0,unknown,999,001i000000NuRMo
